temperature,eDensity,gofnt
729903.2646361388,3020408163.2653065,3.2778735392822516e-26
765021.19832752,3020408163.2653065,4.1659185994167913e-26
801828.7658738301,3020408163.2653065,5.1402075366742263e-26
840407.2608554034,3020408163.2653065,6.150982268581125e-26
880841.8881415128,3020408163.2653065,7.126896152519442e-26
923221.9520747317,3020408163.2653065,7.981927796280603e-26
967641.0537094537,3020408163.2653065,8.625680640564108e-26
1014197.2975401576,3020408163.2653065,8.977742921786724e-26
1062993.5081760285,3020408163.2653065,8.985234277122524e-26
1114137.4574404613,3020408163.2653065,8.636457950003738e-26
1167742.1023970542,3020408163.2653065,7.963214777140437e-26
1223925.834827758,3020408163.2653065,7.038844898562448e-26
1282812.7427142137,3020408163.2653065,5.961655262340093e-26
1344532.8842997623,3020408163.2653065,4.8348942006410507e-26
1409222.5753374626,3020408163.2653065,3.751001384231324e-26
1477024.690158485,3020408163.2653065,2.780976062350675e-26
1548088.9772258627,3020408163.2653065,1.9677186625810998e-26
1622572.3898705235,3020408163.2653065,1.3268164787333405e-26
1700639.4329400521,3020408163.2653065,8.503367051118865e-27
1782462.5261258448,3020408163.2653065,5.159851282635045e-27
1868222.3847710367,3020408163.2653065,2.954665853678148e-27
1958108.4190003115,3020408163.2653065,1.5944779017646498e-27
2052319.1520530963,3020408163.2653065,8.104469198923415e-28
2151062.6587440567,3020408163.2653065,3.899225866387171e-28
2254557.0250193435,3020408163.2653065,1.792155300727918e-28
2363030.8296234924,3020408163.2653065,7.946506448555536e-29
2476723.6489408244,3020408163.2653065,3.437157614720538e-29
2595886.586126396,3020408163.2653065,1.4662963895787056e-29
2720782.8256950434,3020408163.2653065,6.2183077873094856e-30
2851688.2147934726,3020408163.2653065,2.6374249465411e-30
2988891.8724391717,3020408163.2653065,1.1241759224513814e-30
3132696.828071686,3020408163.2653065,4.827194342175476e-31
3283420.6908266563,3020408163.2653065,2.0923341016246213e-31
3441396.3510106686,3020408163.2653065,9.161817479888822e-32
3606972.7153262887,3020408163.2653065,4.0536392232035034e-32
3780515.4774710797,3020408163.2653065,1.8122560078279097e-32
3962407.92581251,3020408163.2653065,8.183825625287417e-33
4153051.789922715,3020408163.2653065,3.7312715168680624e-33
4352868.127842631,3020408163.2653065,1.7160017283172427e-33
4562298.256035178,3020408163.2653065,7.951810193208359e-34
4781804.724081485,3020408163.2653065,3.7086042626665466e-34
5011872.336272725,3020408163.2653065,1.738758779985876e-34
501187.2336272725,5040816326.530613,1.9716835533839704e-27
525300.922235397,5040816326.530613,3.1900670631714267e-27
550574.7959784886,5040816326.530613,4.993659758767365e-27
577064.6749995912,5040816326.530613,7.573694772822608e-27
604829.0651237764,5040816326.530613,1.1141951376778915e-26
633929.2870747296,5040816326.530613,1.5913656628856787e-26
664429.61190834,5040816326.530613,2.2082723599654314e-26
